run	K	evid
317	2	6649.856324909068
485	2	6649.8563249161225
952	2	6649.856325005955
364	2	6649.856325144799
945	2	6649.856325253923
310	2	6649.856325271991
855	2	6649.856325296861
739	2	6649.856325305463
246	2	6649.856325322202
638	2	6649.856325364364
418	2	6649.856325386119
864	2	6649.856325390013
460	2	6649.856325390209
943	2	6649.856325390496
942	2	6649.856325395818
51	2	6649.8563254593355
697	2	6649.85632547987
390	2	6649.856325501215
607	2	6649.856325517087
432	2	6649.8563255708095
368	2	6649.856325591828
940	2	6649.856325595566
321	2	6649.856325605448
618	2	6649.856325617954
237	2	6649.856325637656
794	2	6649.856325680131
913	2	6649.856325691275
96	2	6649.856325799752
659	2	6649.856325822007
865	2	6649.856325932781
768	2	6649.856326023464
377	2	6649.8563260318115
584	2	6649.8563260409755
802	2	6649.856326042348
542	2	6649.856326059865
569	2	6649.856326111905
742	2	6649.856326116781
354	2	6649.856326134877
997	2	6649.85632615109
883	2	6649.856326170193
528	2	6649.856326174837
758	2	6649.856326205459
201	2	6649.856326310419
777	2	6649.856326310796
25	2	6649.856326317724
786	2	6649.856326396382
929	2	6649.856326429272
205	2	6649.856326474023
56	2	6649.856326492875
545	2	6649.856326499777
433	2	6649.85632651342
908	2	6649.8563265649345
664	2	6649.856326570002
966	2	6649.8563265782695
809	2	6649.856326599962
641	2	6649.856326653977
393	2	6649.856326691489
24	2	6649.856326693531
539	2	6649.856326760473
898	2	6649.856326763265
158	2	6649.856326775927
199	2	6649.856326826055
848	2	6649.856326829776
541	2	6649.856326845139
449	2	6649.85632686409
273	2	6649.85632687895
912	2	6649.8563269173555
408	2	6649.856326927129
110	2	6649.856326956358
458	2	6649.856326987545
477	2	6649.856327014338
871	2	6649.8563270371405
445	2	6649.856327059638
21	2	6649.856327102693
127	2	6649.856327189456
867	2	6649.856327197168
822	2	6649.856327211797
998	2	6649.856327232779
453	2	6649.856327234994
427	2	6649.856327242559
258	2	6649.856327248422
145	2	6649.856327264593
770	2	6649.856327297659
182	2	6649.856327306878
576	2	6649.856327318583
396	2	6649.856327329716
476	2	6649.8563273492855
309	2	6649.856327355923
895	2	6649.856327397748
544	2	6649.8563274053195
654	2	6649.856327463701
216	2	6649.85632748457
599	2	6649.856327562047
149	2	6649.856327608509
8	2	6649.856327691785
350	2	6649.85632769244
173	2	6649.856327695825
901	2	6649.856327697146
914	2	6649.856327775322
422	2	6649.856327813486
592	2	6649.85632785077
680	2	6649.856327850988
84	2	6649.856327860951
218	2	6649.856327872705
783	2	6649.856327885246
741	2	6649.856327899435
86	2	6649.856327916651
784	2	6649.856327961397
226	2	6649.856327968513
682	2	6649.856327996606
63	2	6649.8563279971595
755	2	6649.856328019156
292	2	6649.85632805402
404	2	6649.8563281248635
957	2	6649.856328150072
630	2	6649.856328190906
527	2	6649.856328232365
518	2	6649.856328325866
58	2	6649.85632832605
240	2	6649.856328360217
551	2	6649.856328374628
337	2	6649.856328419386
174	2	6649.856328436803
113	2	6649.856328499048
956	2	6649.856328595871
533	2	6649.85632860018
921	2	6649.856328610849
22	2	6649.85632864748
877	2	6649.85632865968
652	2	6649.856328666794
936	2	6649.856328678941
299	2	6649.8563286898325
280	2	6649.856328750167
959	2	6649.856328763052
412	2	6649.856328772093
785	2	6649.856328772597
733	2	6649.856328785034
902	2	6649.856328812192
703	2	6649.8563288350915
369	2	6649.856328839021
646	2	6649.856328844913
397	2	6649.856328865303
130	2	6649.856328873448
974	2	6649.856328960615
107	2	6649.85632898632
413	2	6649.856329028429
512	2	6649.856329037972
767	2	6649.856329163397
490	2	6649.856329179902
451	2	6649.856329200495
323	2	6649.856329227862
117	2	6649.85632924199
571	2	6649.856329257928
672	2	6649.856329281415
118	2	6649.856329299691
255	2	6649.856329403803
719	2	6649.856329406793
911	2	6649.8563294116775
336	2	6649.856329458925
948	2	6649.8563294733
859	2	6649.856329485032
507	2	6649.8563294885425
324	2	6649.856329521699
634	2	6649.8563295269705
829	2	6649.856329662785
222	2	6649.856329667415
231	2	6649.8563296907805
675	2	6649.856329722298
860	2	6649.856329777378
54	2	6649.8563298714525
125	2	6649.856329933413
168	2	6649.856329950392
596	2	6649.856330012785
732	2	6649.8563300170335
289	2	6649.8563300527285
349	2	6649.856330055621
886	2	6649.856330056286
359	2	6649.856330068169
958	2	6649.856330103013
203	2	6649.856330105342
46	2	6649.8563301060785
322	2	6649.856330127536
457	2	6649.856330145585
495	2	6649.856330164999
69	2	6649.856330180115
172	2	6649.856330204092
150	2	6649.856330251659
627	2	6649.856330284021
138	2	6649.856330339111
170	2	6649.856330391992
206	2	6649.856330401429
28	2	6649.856330409706
514	2	6649.856330474812
983	2	6649.8563305012995
707	2	6649.85633054139
915	2	6649.856330588636
252	2	6649.856330622851
984	2	6649.8563306279975
464	2	6649.856330738505
313	2	6649.856330756834
331	2	6649.856330779488
115	2	6649.8563308050225
660	2	6649.856330819126
61	2	6649.856330825806
574	2	6649.856330860937
284	2	6649.856330868343
523	2	6649.856330942357
95	2	6649.856330955883
791	2	6649.856331008707
470	2	6649.85633101762
858	2	6649.85633102105
144	2	6649.856331039868
185	2	6649.856331058524
590	2	6649.856331163888
939	2	6649.856331205096
154	2	6649.856331212777
969	2	6649.856331222116
934	2	6649.856331264502
814	2	6649.856331310009
159	2	6649.8563314124185
708	2	6649.856331434909
503	2	6649.856331517027
399	2	6649.856331535236
157	2	6649.856331653244
352	2	6649.8563316595655
824	2	6649.856331731876
34	2	6649.856331759672
17	2	6649.85633180647
5	2	6649.856331882196
668	2	6649.856331886942
938	2	6649.856331937135
656	2	6649.85633196568
452	2	6649.856331995469
870	2	6649.856331995668
887	2	6649.8563320251515
164	2	6649.856332109497
681	2	6649.856332140023
73	2	6649.856332153255
136	2	6649.856332204736
129	2	6649.8563322424225
504	2	6649.856332281729
841	2	6649.8563322832015
926	2	6649.856332283451
357	2	6649.856332295414
188	2	6649.856332310297
